feature,type,precision,recall,f1,accuracy,support,invalid_llm_preds
antibiotics,binary (macro over yes|no),0.6178,0.5063,0.4586,0.788,1000,0
asthma,binary (macro over yes|no),0.9878,0.993,0.9904,0.997,1000,0
common_cold,binary (macro over yes|no),0.9025,0.812,0.8458,0.903,1000,0
fever,multiclass macro (high|low|no),0.977,0.9145,0.9431,0.963,1000,0
pain,binary (macro over yes|no),0.979,0.8879,0.9269,0.97,1000,0
pneu,binary (macro over yes|no),0.9276,0.8745,0.8992,0.997,1000,0
smoking,binary (macro over yes|no),0.9974,0.9994,0.9984,0.999,1000,0
